"","SubjectNumber","Trial","LeftRight","RT","FoodLeft","FoodRight","ValueLeft","ValueRight","PreviousEncounterLeft","PreviousEncounterRight","PreviousEncounterBoth","PreviousEncounterChosen","pe.median","Familiarity","vdiff","difficulty"
"1",1,1,0,2.972,63,112,6,6,0,0,0,0,3,"Low",0,0
"2",1,2,1,2.2836,57,123,4,5,0,0,0,0,3,"Low",-1,1
"3",1,3,0,3.6888,82,9,4,5,0,0,0,0,3,"Low",-1,1
"4",1,4,1,3.4532,111,128,5,5,0,0,0,0,3,"Low",0,0
"5",1,5,0,2.0578,79,98,7,6,0,0,0,0,3,"Low",1,1
"6",1,6,1,7.9724,41,39,7,2,0,0,0,0,3,"Low",5,5
"7",1,7,1,3.7311,76,35,5,5,0,0,0,0,3,"Low",0,0
"8",1,8,1,1.3474,87,93,4,5,0,0,0,0,3,"Low",-1,1
"9",1,9,1,2.0749,36,49,5,2,0,0,0,0,3,"Low",3,3
"10",1,10,0,2.8294,90,48,3,6,0,0,0,0,3,"Low",-3,3
"11",1,11,1,3.5171,94,125,5,3,0,0,0,0,3,"Low",2,2
"12",1,12,1,3.2218,98,116,6,4,1,0,1,1,3,"Low",2,2
"13",1,13,1,1.2653,132,114,7,7,0,0,0,0,3,"Low",0,0
"14",1,14,0,0.99778,108,41,4,7,0,1,1,1,3,"Low",-3,3
"15",1,15,0,3.0139,37,120,1,4,0,0,0,0,3,"Low",-3,3
"16",1,16,0,1.0835,40,132,2,7,0,1,1,1,3,"Low",-5,5
"17",1,17,1,1.7012,73,131,4,4,0,0,0,0,3,"Low",0,0
"18",1,18,0,2.0155,100,98,5,6,0,2,2,2,3,"Low",-1,1
"19",1,19,1,1.2076,137,106,6,2,0,0,0,0,3,"Low",4,4
"20",1,20,1,1.9404,6,26,5,3,0,0,0,0,3,"Low",2,2
"21",1,21,0,2.0503,120,85,4,4,1,0,1,0,3,"Low",0,0
"22",1,22,0,9.1734,80,69,5,5,0,0,0,0,3,"Low",0,0
"23",1,23,1,3.2139,117,108,5,4,0,1,1,0,3,"Low",1,1
"24",1,24,0,1.9586,125,128,3,5,1,1,2,1,3,"Low",-2,2
"25",1,25,1,4.19,31,117,5,5,0,1,1,0,3,"Low",0,0
"26",1,26,0,2.3055,137,9,6,5,1,1,2,1,3,"Low",1,1
"27",1,27,0,1.11,70,32,5,7,0,0,0,0,3,"Low",-2,2
"28",1,28,0,3.3936,112,1,6,6,1,0,1,0,3,"Low",0,0
"29",1,29,0,3.6909,94,96,5,6,1,0,1,0,3,"Low",-1,1
"30",1,30,0,1.0542,99,144,6,7,0,0,0,0,3,"Low",-1,1
"31",1,31,0,1.1957,125,27,3,7,2,0,2,0,3,"Low",-4,4
"32",1,32,0,5.2075,124,128,7,5,0,2,2,2,3,"Low",2,2
"33",1,33,1,1.7197,21,7,7,6,0,0,0,0,3,"Low",1,1
"34",1,34,1,1.9139,31,116,5,4,1,1,2,1,3,"Low",1,1
"35",1,35,1,1.2075,27,14,7,6,1,0,1,1,3,"Low",1,1
"36",1,36,0,2.2316,35,73,5,4,1,1,2,1,3,"Low",1,1
"37",1,37,1,2.2755,112,137,6,6,2,2,4,2,3,"High",0,0
"38",1,38,1,1.2394,57,147,4,4,1,0,1,1,3,"Low",0,0
"39",1,39,0,1.079,11,124,3,7,0,1,1,1,3,"Low",-4,4
"40",1,40,0,1.4667,13,101,4,7,0,0,0,0,3,"Low",-3,3
"41",1,41,0,2.5178,58,9,4,5,0,2,2,2,3,"Low",-1,1
"42",1,42,1,5.2896,121,47,7,6,0,0,0,0,3,"Low",1,1
"43",1,43,1,1.2597,51,26,6,3,0,1,1,0,3,"Low",3,3
"44",1,44,0,1.4152,110,25,4,4,0,0,0,0,3,"Low",0,0
"45",1,45,1,2.3399,4,30,7,4,0,0,0,0,3,"Low",3,3
"46",1,46,0,1.4726,67,1,2,6,0,1,1,1,3,"Low",-4,4
"47",1,47,1,1.0293,104,145,7,4,0,0,0,0,3,"Low",3,3
"48",1,48,1,1.4963,62,89,6,4,0,0,0,0,3,"Low",2,2
"49",1,49,1,3.3919,92,49,7,2,0,1,1,0,3,"Low",5,5
"50",1,50,0,2.8164,106,12,2,3,1,0,1,0,3,"Low",-1,1
"51",1,51,1,1.19,141,142,5,3,0,0,0,0,3,"Low",2,2
"52",1,52,0,7.0158,117,87,5,4,2,1,3,1,3,"Low",1,1
"53",1,53,1,1.4301,112,52,6,6,3,0,3,3,3,"Low",0,0
"54",1,54,0,1.1854,49,63,2,6,2,1,3,1,3,"Low",-4,4
